CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK
DN,Buy into the project,DN0001,ก็อกก้านยาว แบบปัด SANA#SM3831,24052,,"2,400.00",,,,
DN,Buy into the project,DN0002,มือจับสีทอง #PP-988-800-G,24030,,"2,500.00",,,,
DN,Buy into the project,DN0003,กลอนท้องปลิง ปลอกเล็ก BR 111 4 นิ้ว NS ริช168#01-111-04-24,24030,,71.00,,,,
DN,Buy into the project,DN0004,"บานพับ วิทโก้ เหล็ก ST 907 12"" สีชา ริช168#04-907-12",24030,,57.00,,,,
DN,Buy into the project,DN0005,"สะดืออ่างล้างหน้าแบบดึงล็อค ""COTTO""",,,,,,,
DN,Buy into the project,DN0006,"ท่อน้ำทิ้ง อ่างล้างหน้า แบบกระปุกยาว 39CM  ""COTTO""",,,,,,,
DN,Buy into the project,DN0007,"สายน้ำดีอ่างล้างหน้าสแตนเลสถักยาว 18""  ""COTTO""",,,,,,,
DN,Buy into the project,DN0008,"วาล์วเปิด-ปิดน้ำ ""COTTO""",,,,,,,
DN,Buy into the project,DN0009,"ฉากเหล็ก 2""x2""x6.0mmx6M",010 HOF,บริษัท วนวัฒน์ แสตนเลส สตีล จำกัด,580.00,,,,
DN,Buy into the project,DN0010,แผ่นเหล็ก SS400 6.0mmx75mmx160mm,23038 โครงเหล็กผนังกล่องทีวี BF-02 POS250127-094,บริษัท วนวัฒน์ แสตนเลส สตีล จำกัด,60.00,,,,
DN,Buy into the project,DN0011,แผ่่นเหล็กตัดพับ V-cut 1.5mm,23038 โครงเหล็กผนังกล่องทีวี BF-02 POS250127-094,บริษัท วนวัฒน์ แสตนเลส สตีล จำกัด,700.00,,,,
DN,Buy into the project,DN0012,แผ่นอลูมิเนียม 3.0mmx1200x2400mm,24052 ทำบัว Nurstation POS250130-095,บริษัท วนวัฒน์ แสตนเลส สตีล จำกัด,"3,350.00",,,,
DN,Buy into the project,DN0013,"แป๊ปเหล็กสีเหลี่ยม 2""x2""1.5mmx6M",23038 โครงเหล็กผนังกล่องทีวี BF-02 POS250127-093,บริษัท วนวัฒน์ แสตนเลส สตีล จำกัด,330.00,,,,
DN,Buy into the project,DN0014,แป๊ปเหล็กสีเหลี่ยม 40x20x2.0mmx6M,23038 โครงSupport ตู้ BF-11 POS250131-096,บริษัท วนวัฒน์ แสตนเลส สตีล จำกัด,330.00,,,,
DN,Buy into the project,DN0015,แป๊ปเหล็กสีเหลี่ยม 12.7x12.7x1.2mmx6M,23038 โครงSupport ตู้ BF-11 POS250131-096,บริษัท วนวัฒน์ แสตนเลส สตีล จำกัด,120.00,,,,
DN,Buy into the project,DN0016,แผ่นเหล็กดำ 4x1200x2400mm,23038 โครงSupport ตู้ BF-11 POS250131-096,บริษัท วนวัฒน์ แสตนเลส สตีล จำกัด,"2,100.00",,,,
DN,Buy into the project,DN0017,"แป๊ปเหล็กสีเหลี่ยม 1""x1""x1.5mmx6M",24053 OPD ,บริษัท วนวัฒน์ แสตนเลส สตีล จำกัด,145.00,,,,
DN,Buy into the project,DN0018,"ท่อเหล็ก IG 1-1/2""x1.4x6M.",DJ24030Legacy Clubhouse,บริษัท วนวัฒน์ แสตนเลส สตีล จำกัด,320.00,,,,
